user	timestamp	rating	title	review	review_raw
Sissarae27	20230209T130009	1	Nope Nope Nope	Stop insulting us with this Covid propaganda.	Stop insulting us with this Covid propaganda.
JessaD78	20230205T214417	1	Used To Be Good	Season 1 was good so I figured I'd enjoy the most recent episodes. Seems they've now got an agenda to push...not interested in the spin.	Season 1 was good so I figured I’d enjoy the most recent episodes. Seems they’ve now got an agenda to push…not interested in the spin.
msh441	20230205T195636	3	Infatuation And Prioritization	Great podcast series. Very well produced. I think season 1 and Adnan's case / exhortation in particular is a couple well spoken women (Koenig and McLean) becoming infatuated with a charismatic killer. A single witness in a library (McLean), some collected evidence that was deeming to be unrelated, and different interpretations of cell phone tower data is enough to ignore several eyewitness who were present when Jay and Adnan spoke about the crime, call recipients, and physical evidence that matches testimony. The explanation presented is 'witnesses forget', and dependence on tower data, from towers that have changed over the years. Specifically how they prioritize and hand off calls. Koenig should've spoken with Hae's friends and family more. The 'possessive stalker' behavior exhibited by Adnan was brushed over in episode 1, and never again comes up!?! Because Koenig is infatuated with him. A fact she acknowledges in multiple episodes. Adnan ultimately benefitted from stoked racial tensions of the day, and is a free man today.	Great podcast series. Very well produced. I think season 1 and Adnan’s case / exhortation in particular is a couple well spoken women (Koenig and McLean) becoming infatuated with a charismatic killer. A single witness in a library (McLean), some collected evidence that was deeming to be unrelated, and different interpretations of cell phone tower data is enough to ignore several eyewitness who were present when Jay and Adnan spoke about the crime, call recipients, and physical evidence that matches testimony. The explanation presented is ‘witnesses forget’, and dependence on tower data, from towers that have changed over the years.  Specifically how they prioritize and hand off calls. Koenig should’ve spoken with Hae’s friends and family more.  The ‘possessive stalker’ behavior exhibited by Adnan was brushed over in episode 1, and never again comes up!?!  Because Koenig is infatuated with him. A fact she acknowledges in multiple episodes.  Adnan ultimately benefitted from stoked racial tensions of the day, and is a free man today.
JV2134593	20230201T120420	1	Downhill	Season 1 was fantastic. Further seasons seem solely invested in pushing a political agenda. I'm out.	Season 1 was fantastic. Further seasons seem solely invested in pushing a political agenda. I’m out.
ScottieEric	20230131T143051	3	Another Guilty American Journalist	ALL minorities are persecuted and innocent, regardless of their ignorance and inability to comply with laws. Stereotypical, bleeding heart view, all complaining with no practical solutions to problems, just whining. The white establishment is inherently evil. Makes you wonder why the entire world wants to come and live in our white supremacist country? The journalism is good, thanks to Ira I'm sure.	ALL minorities are persecuted and innocent, regardless of their ignorance and inability to comply with laws.  Stereotypical, bleeding heart view, all complaining with no practical solutions to problems, just whining. The white establishment is inherently evil.  Makes you wonder why the entire world wants to come and live in our white supremacist country?  The journalism is good, thanks to Ira I’m sure.
Blashphmemer	20230122T012815	1	Has Aged Poorly. Disappointed	Season 1 of Serial was the first podcast I ever listened to and opened the door to the podcasting world. A stoned liberal at the time with little to no critical thinking skills, I wholeheartedly bought the notion that perhaps Adnan was innocent. I relistened to season 1 recently and concluded that yea, he totally did it and the podcast gives Adnan the benefit of EVERY doubt pointing to racism and xenophobia as the reasons why our justice system could possibly find him guilty. I certainly don't know what really happened, but I know Adnan is a liar or at least he's a half liar with an awful spotty memory. Season 2 was ok, but boring. Bergdahl was painted a bit too rosey in my opinion. I couldn't get past episode one with season 3 out of sheer boredom and disinterest in swallowing anymore propaganda, so I can't fairly comment. Based on the comments I'm reading, don't waste your time unless you can believe the hogwash information coming from media concerning Covid the last couple of years. I'm not even a dyed in the wool Republican, but trash like what this podcast and others adjacent like it (NYT, NPR, etc) are dishing out is pushing me more and more towards conservatism.	"Season 1 of Serial was the first podcast I ever listened to and opened the door to the podcasting world. A stoned liberal at the time with little to no critical thinking skills, I wholeheartedly bought the notion that perhaps Adnan was innocent. I relistened to season 1 recently and concluded that yea, he totally did it and the podcast gives Adnan the benefit of EVERY doubt pointing to racism and xenophobia as the reasons why our justice system could possibly find him guilty. I certainly don’t know what really happened, but I know Adnan is a liar or at least he’s a half liar with an awful spotty memory. 
Season 2 was ok, but boring. Bergdahl was painted a bit too rosey in my opinion. 
I couldn’t get past episode one with season 3 out of sheer boredom and disinterest in swallowing anymore propaganda, so I can’t fairly comment. Based on the comments I’m reading, don’t waste your time unless you can believe the hogwash information coming from media concerning Covid the last couple of years. I’m not even a dyed in the wool Republican, but trash like what this podcast and others adjacent like it (NYT, NPR, etc) are dishing out is pushing me more and more towards conservatism."
Aliemarie27	20230117T235557	5	Heard About This Podcast From The Year 2022 On Hulu	I started listening to this Friday evening - 1/13/2023! Already on Season 3. Gripping, captivating, real! I commend this entire team for all they do and the stories you tell and follow. Thank you for this! Glad I found you	I started listening to this Friday evening - 1/13/2023! Already on Season 3. Gripping, captivating, real! I commend this entire team for all they do and the stories you tell and follow. Thank you for this! Glad I found you
Ceesfire	20230113T205357	5	Serial Was My First Podcast - Hooked For Life!	Serial was the first podcast I ever listened to, and I used to wait on baited breath for the next episode of season 1. I have listened to thousands of episodes of other podcasts since then. This is still one of my top favorites. The quality and the subjects they choose - the way they let people who lived it tell it. It's excellent. Love your work, guys! I actually found Ira and This American Life from you... instead of the other way around - lol	Serial was the first podcast I ever listened to, and I used to wait on baited breath for the next episode of season 1. I have listened to thousands of episodes of other podcasts since then. This is still one of my top favorites. The quality and the subjects they choose - the way they let people who lived it tell it. It’s excellent. Love your work, guys! I actually found Ira and This American Life from you… instead of the other way around - lol
Beck1988	20230108T172412	5	Great Storytelling And Topics	Overall a great podcast that keeps you intrigued and hooked with their storytelling. Love how descriptive they are with their wording. Also love how in-depth they get in their investigations to find out more information (i.e. Sarah Koenig speaking to Afghanis in Season 2. What other reporters do that?) P.S. Don't listen to commenters giving poor reviews because they don't agree with the politics of the COVID-19 pandemic and vaccines.	Overall a great podcast that keeps you intrigued and hooked with their storytelling. Love how descriptive they are with their wording. Also love how in-depth they get in their investigations to find out more information (i.e. Sarah Koenig speaking to Afghanis in Season 2. What other reporters do that?) P.S. Don’t listen to commenters giving poor reviews because they don’t agree with the politics of the COVID-19 pandemic and vaccines.
Nullity	20230113T002101	3	50/50	Season one was great, season two sucked, here's hoping that season three will be great again.	Season one was great, season two sucked, here's hoping that season three will be great again.
QuaveK	20230104T195239	5	Serial Productions Is In A League Of Their Own	I've listened to every season. The thing that makes these podcasts different is the uncanny way they tell a story that gets you thinking about the complexities of life from a certain angle, then in the very next episode, they add details that have you reexamining your entire worldview. Excellent for developing critical thinking skills while being entertained by fascinating, human stories. As long as they keep recording, I'll keep coming back for more.	I’ve listened to every season. The thing that makes these podcasts different is the uncanny way they tell a story that gets you thinking about the complexities of life from a certain angle, then in the very next episode, they add details that have you reexamining your entire worldview. Excellent for developing critical thinking skills while being entertained by fascinating, human stories. As long as they keep recording, I’ll keep coming back for more.
MaverickAbundance	20221217T235337	5	Season 3 - Shocking And Upsetting!	I can't believe how corrupt this police department is! And they keep doing the same cruel, evil, unethical and unacceptable behaviors!	"I can’t believe how corrupt this police department is!!!
And they keep doing the same cruel, evil, unethical and unacceptable behaviors!"
Leo Prawi	20230104T004438	1	How Much Did You Get Pay From Adnan'S Family And Friends?	More than 70% of your stories were defending Adnan. Even though he's lying about where he was at at the day of murder. It doesn't make sense too he gave his car and PERSONAL mobile phone to Jay on that day. They are only a classmate not a friend. Those are really big flags. This is a simple case nothing complicated. I feel sad on Hae's family. You put Adnan as a hero and a victim. You are a mother, think about a bad karma to your family, kid and yourself!	More than 70% of your stories were defending Adnan. Even though he’s lying about where he was at at the day of murder. It doesn’t make sense too he gave his car and PERSONAL mobile phone to Jay on that day. They are only a classmate not a  friend. Those are really big flags. This is a simple case nothing complicated. I feel sad on Hae’s family. You put Adnan as a hero and a victim. You are a mother, think about a bad karma to your family, kid and yourself!
13579086421357908642	20230103T210625	1	What Is The Mystery In We Are Three?	Two anti vaxxers died of COVID.	Two anti vaxxers died of COVID.
Sarag0621	20221229T180050	3	Should I Continue To Follow Serial	Like so many others I was intrigued with the first Season of Serial - I think I listened through the full Season 1 at least 3 times. Season 2 was definitely not as good - not really true crime investigation but I made it through. The next Season took a sharp turn political/social turn and while it was timely definitely had an agenda. I didn't listen to We were 3 and probably will not. I'm about 2/3 through The Trojan Horse Affair and although I am finding it interesting it's frustrating how Hazam is so focused on proving his ideas. He talks about how he graduated with a degree in investigative journalism but he clearly was not taught to be objective, to find the truth of the story aside from what he thinks personally, he seemed unable to separate himself from the story as though it was about him directly and that leads him to being defensive and quite immature. Of course I see how this government report seems to have exaggerated facts and took things out of context I think their approach was wrong but I think Hazam made the story less believable because he was so personally invested in it. That seems to be the way of journalism today especially in the NYT so I find it unremarkable that they are sponsoring this podcast.	Like so many others I was intrigued with the first Season of Serial - I think I listened through the full Season 1 at least 3 times.  Season 2 was definitely not as good - not really true crime investigation but I made it through.  The next Season took a sharp turn political/social turn and while it was timely definitely had an agenda.  I didn’t listen to We were 3 and probably will not.  I’m about 2/3 through The Trojan Horse Affair and although I am finding it interesting it’s frustrating how Hazam is so focused on proving his ideas.  He talks about how he graduated with a degree in investigative journalism but he clearly was not taught to be objective, to find the truth of the story aside from what he thinks personally,  he seemed unable to separate himself from the story as though it was about him directly and that leads him to being defensive & quite immature.  Of course I see how this government report seems to have exaggerated facts and took things out of context I think their approach was wrong but I think Hazam made the story less believable because he was so personally invested in it.  That seems to be the way of journalism today especially in the NYT so I find it unremarkable that they are sponsoring this podcast.
listener_kc	20221227T204746	3	Ads In Awkward Places And Lack Of Relevant Updates	Why are the ads poorly placed, sometimes even mid-sentence of someone talking? (At least in the We Were Three series) Also, Serial is sometimes misleading and fails to add relevant updates to their stories, presumably to make them more interesting. Thank goodness for other podcasts and news outlets that set the record straight.	"Why are the ads poorly placed, sometimes even mid-sentence of someone talking? (At least in the We Were Three series)

Also, Serial is sometimes misleading and fails to add relevant updates to their stories, presumably to make them more interesting. Thank goodness for other podcasts and news outlets that set the record straight."
Lunatopia	20221220T070228	1	Propaganda.	Nuff said	Nuff said
LFH164	20221219T190831	2	Missing Trigger Warnings	Not adequate trigger warnings prior to discussing disturbing abuse content	Not adequate trigger warnings prior to discussing disturbing abuse content
Sassy2u15	20221212T161658	5	We Are Three- Loved It	"What a great change on the podcast with the series ""We Are Three."" Very captivating and poetic with the way Rachel spoke and wrote her poems."	What a great change on the podcast with the series “We Are Three.” Very captivating and poetic with the way Rachel spoke and wrote her poems.
Vane315	20221209T183214	5	John B-Stown	Ok! I just finished John's story...is my favorite so far. Brian you did an amazing job.	Ok! I just finished John’s story…is my favorite so far.  Brian you did an amazing job.
Sunflower uwu yt	20221203T013626	5	Season 1 - Adnan'S Case	I am a True Crime enthusiast and this is one of the most detailed re-telling of a case including great first hand investigative journalism with unbias coverage regarding this case, she certainly creates a vivid picture of the investigation as well as deep diving into the people associated with the case, thank you for what you do!	I am a True Crime enthusiast and this is one of the most detailed re-telling of a case including great first hand investigative journalism with unbias coverage  regarding this case, she certainly creates a vivid picture of the investigation as well as deep diving into the people associated with the case, thank you for what you do!
Elifayno	20221128T223726	5	Kept Me Hooked	I was hooked all the way through. Excellent!	I was hooked all the way through. Excellent!
otterav831	20221201T111856	1	Interesting	The show has interesting content, the ads and pimping for money became tiresome quickly. Hard pass	"The show has interesting content, the ads and pimping for money became tiresome quickly.
Hard pass"
MemoDS	20221126T045138	2	We Were Three	Must be the most boring and monotonous podcast I've listened to in quite some time. Do not listen to this while driving!	Must be the most boring and monotonous podcast I’ve listened to in quite some time. Do not listen to this while driving!
Fhknvcfgbjjb	20221120T220457	2	Gave Extra Star For Season 1	The first season of serial was truly a transcendent high art experience. To this day I encourage people to listen and I enjoy thinking back on the case (I am firmly in the guilty camp). I was really disappointed when I tried out this season and immediately discovered it was about fringe COVID vax conspiracists. Highlighting COVID kooks is just such poor taste right now. After everything we've gone through we ought to be going out of our way to be gracious to people for being crazy during that period. Lord knows the self appointed vax police were just as cringeworthy. I'll give you guys one more shot to pick a great topic but after that I'm out. S-Town was fantastic btw.	The first season of serial was truly a transcendent high art experience. To this day I encourage people to listen and I enjoy thinking back on the case (I am firmly in the guilty camp). I was really disappointed when I tried out this season and immediately discovered it was about fringe COVID vax conspiracists. Highlighting COVID kooks is just such poor taste right now. After everything we’ve gone through we ought to be going out of our way to be gracious to people for being crazy during that period. Lord knows the self appointed vax police were just as cringeworthy. I’ll give you guys one more shot to pick a great topic but after that I’m out. S-Town was fantastic btw.
Laura Gale	20221121T223638	1	Never Again	"I am so grateful to scroll through these reviews and see that many many others are calling out the absolute trash that is ""We were three"". What a joke. The lengths that this story goes to propagate and prop up the COVId narrative is nauseating. I feel for Rachel and both Peters but how their tragic story is used here to milk, once again, so many of the old stand by tropes is sad. No evidence for Ivermectin? Seriously? It's 2022 folks... and not a mention (again it's the end of 2022) of the absolute irrelevance of Vaccines when it comes to COVId outcomes. I stopped listening to NPR and reading the NYT a long time ago... saw a new season of Serial and thought... maybe this will be good. Never Again."	"I am so grateful to scroll through these reviews and see that many many others are calling out the absolute trash that is “We were three”. What a joke. The lengths that this story goes to propagate and prop up the COVId narrative is nauseating. I feel for Rachel and both Peters but how their tragic story is used here to milk, once again, so many of the old stand by tropes is sad. No evidence for Ivermectin? Seriously? It’s 2022 folks… and not a mention (again it’s the end of 2022) of the absolute irrelevance of 
Vaccines when it comes to COVId outcomes. I stopped listening to NPR and reading the NYT a long time ago… saw a new season of Serial and thought… maybe this will be good.
 Never Again."
mollykate2388	20221121T223356	1	Covid Garbage	I can't even listen to We Were Three. I sure hope they come out with an update to apologize and correct their blatantly false statements. Remdesivir kills people. We KNOW that now. Ivermectin DOES work. We know that now. The vaccine DOES shed. The vaccine DOES NOT stop anything. I am soooo disappointed in this.	I can’t even listen to We Were Three. I sure hope they come out with an update to apologize and correct their blatantly false statements. Remdesivir kills people. We KNOW that now. Ivermectin DOES work. We know that now. The vaccine DOES shed. The vaccine DOES NOT stop anything. I am soooo disappointed in this.
Darbybow	20221121T172850	1	We Were Three...	Brought to you by PFIZER!	Brought to you by PFIZER!
MamaReader22	20221118T183917	1	Waiting...	Listening to episode 1 of We Were Three. I'm struggling with why this is a podcast. Is there something dramatic that happens? Is this just Covid propaganda, ensuring the general public the unvaccinated conspiracy theorists are crazy? I am waiting for something to happen. Rachel has clearly faced serious hardship and loss, it's a terrible thing to lose family members in such a short amount of time. Serial, I expected more. There has to be better stories than this.	Listening to episode 1 of We Were Three. I’m struggling with why this is a podcast. Is there something dramatic that happens? Is this just Covid propaganda, ensuring the general public the unvaccinated conspiracy theorists are crazy? I am waiting for something to happen. Rachel has clearly faced serious hardship and loss, it’s a terrible thing to lose family members in such a short amount of time. Serial, I expected more. There has to be better stories than this.
Ali Baird	20221112T222241	1	Got Really Boring.	The last few episodes we were three are very redundant and boring.	The last few episodes we were three are very redundant and boring.
Lightning121710	20221105T073201	5	Trojan Horse Is An Incredible Experience	I'm still in the middle of Trojan Horse, and it's incredibly beautiful storytelling. The two journalists are building a friendship as well as a story, and it's fascinating and entertaining to hear. As a teacher in the US, I understand a little of the frustration when others make assumptions without evidence, although I was also surprised that the UK schools require a daily worship experience! I was disappointed, but not shocked, to read the number of lazy, entitled reviews of this podcast. If you're planning to write a review, please google what that is! Nothing is going to be perfectly suited to your exact specifications, and no storyteller is going to change themselves for you. If the podcast isn't for you, try mentioning some quirks that will help others decide to watch or not. Your over sensitivity to ideas that aren't limited to your tiny box are unimportant.	"I’m still in the middle of Trojan Horse, and it’s incredibly beautiful storytelling. The two journalists are building a friendship as well as a story, and it’s fascinating and entertaining to hear. As a teacher in the US, I understand a little of the frustration when others make assumptions without evidence, although I was also surprised that the UK schools require a daily worship experience! 
I was disappointed, but not shocked, to read the number of lazy, entitled reviews of this podcast. If you’re planning to write a review, please google what that is! Nothing is going to be perfectly suited to your exact specifications, and no storyteller is going to change themselves for you. If the podcast isn’t for you, try mentioning some quirks that will help others decide to watch or not. Your over sensitivity to ideas that aren’t limited to your tiny box are unimportant."
Pulsefinder2020	20221109T102502	1	We Were Three	Rachel clearly has issues and Serial gave her an outlet to air her family's dirty laundry. I don't know these people, and I was given no reason to care. The podcast was not as advertised and quickly went off the rails. The interviewer had zero control over the direction of this podcast. It is a train wreck.	Rachel clearly has issues and Serial gave her an outlet to air her family’s dirty laundry. I don’t know these people, and I was given no reason to care. The podcast was not as advertised and quickly went off the rails. The interviewer had zero control over the direction of this podcast. It is a train wreck.
Kiya Dallas	20221108T015142	1	We Were Three	I honestly got 1/2 way through the 2nd episode and thought why on earth am I listening to this?! It comes across as a therapy session and I don't understand the point at all.	I honestly got 1/2 way through the 2nd episode and thought why on earth am I listening to this?! It comes across as a therapy session and I don’t understand the point at all.
nameforappreviews	20221106T112654	1	So Disgusting	Lots of incorrect statements in the child-like little Covid story. Anyone who understands p-value and methodology in scientific research gets this. I absolutely cannot believe people are still swayed by this propaganda. I can't even tell if the writers intentionally aim for fantasy or if their ever-so-smooth brains believe the hot garbage they're spewing. It's just nauseating.	Lots of incorrect statements in the child-like little Covid story. Anyone who understands p-value and methodology in scientific research gets this. I absolutely cannot believe people are still swayed by this propaganda. I can’t even tell if the writers intentionally aim for fantasy or if their ever-so-smooth brains believe the hot garbage they’re spewing. It’s just nauseating.
JamR0ock	20221031T071632	5	Good Stuff	"Serial is great, and anyone who's crying about it being ""leftist propaganda"" needs to take several seats. If you can't listen like you have some sense, then maybe this podcast isn't for you."	Serial is great, and anyone who’s crying about it being “leftist propaganda” needs to take several seats. If you can’t listen like you have some sense, then maybe this podcast isn’t for you.
gfsyuhvcghhh	20221103T015111	2	Not Worth It	Just talks bad about white people not worth listening to	Just talks bad about white people not worth listening to
madcopygirl	20221102T115745	1	We Were Three Fictional	...characters in the most propaganda-rich serial ever created this side of the covid regime. Man, it is CRINGE! I already wrote a review but forgot to mention that We Were 3 Melodramatic Morons is a fiction piece, which is never explicitly stated and, even though it's kinda obvious that it's low-brow literature, some people won't be wise to that.	"...characters in the most propaganda-rich serial ever created this side of the covid regime. Man, it is CRINGE!!!

I already wrote a review but forgot to mention that We Were 3 Melodramatic Morons is a fiction piece, which is never explicitly stated and, even though it’s kinda obvious that it’s low-brow literature, some people won’t be wise to that."
mabellilla	20221028T165201	5	Amazing	Love all seasons but the We were three was absolutely tear jerker for me and just so so good,	Love all seasons but the We were three was absolutely tear jerker for me and just so so good,
Doctadialect	20221031T053307	1	You Set A Murderer Free	He had motive, no alibi, and wrote that he was gonna kill her. His friend led police to the body. His phone records put him there. 20 years later, not finding his DNA on her dress shoes (that were in her car) means NOTHING. The woman who brought this story to Sarah Koenig is Adnan's friend. Of course she thinks he's innocent. A prosecutor, judge, and jury found this monster guilty. Don't you think they probably know more than all of us do about the case? I feel bad for the family of the victim.	He had motive, no alibi, and wrote that he was gonna kill her. His friend led police to the body. His phone records put him there. 20 years later, not finding his DNA on her dress shoes (that were in her car) means NOTHING. The woman who brought this story to Sarah Koenig is Adnan’s friend. Of course she thinks he’s innocent. A prosecutor, judge, and jury found this monster guilty. Don’t you think they probably know more than all of us do about the case? I feel bad for the family of the victim.
dre89906	20221028T192307	1	Season Three	Listened to Season One a few years ago and thought maybe I'd enjoy Season Three, I was very wrong. What was originally a true crime podcast has turned into leftist propaganda aimed at trashing the police. She claims to be so amazing for getting the opinion of someone who calls himself a conservative and then she doesn't even air what he said and calls him a racist more than once. Journalism is about providing the facts and letting the audience make up their own opinions, not providing your own opinions and telling the audience what to think. How disappointing.	Listened to Season One a few years ago and thought maybe I’d enjoy Season Three, I was very wrong. What was originally a true crime podcast has turned into leftist propaganda aimed at trashing the police. She claims to be so amazing for getting the opinion of someone who calls himself a conservative and then she doesn’t even air what he said and calls him a racist more than once. Journalism is about providing the facts and letting the audience make up their own opinions, not providing your own opinions and telling the audience what to think. How disappointing.
nicoleflewell	20221025T061433	5	We Need An Adnan Follow Up!	Sarah - we need to hear from you and Adnan. Your reporting, along with his family and friends, is what has freed him 18+ years later. This is revolutionary and we need to talk about it! Justice has been placed in the hands of the (no offense) every day investigators as the justice system, once they make a decision writes people off for eternity. Your show changed me, and so many people. Justice has been finally served for Adnan, but obviously justice for Hae is still desperately needed for her family. Please, please, please bring your perspective for a follow up episode. Your OG Serial fan base is here and waiting!	"Sarah - we need to hear from you and Adnan. Your reporting, along with his family and friends, is what has freed him 18+ years later. This is revolutionary and we need to talk about it! Justice has been placed in the hands of the (no offense) every day investigators as the justice system, once they make a decision writes people off for eternity. Your show changed me, and so many people. Justice has been finally served for Adnan, but obviously justice for Hae is still desperately needed for her family. Please, please, please bring your perspective for a follow up episode. Your
OG Serial fan base is here and waiting!!!!"
Benhoni	20221025T010052	5	3 Powerful	"""We Were Three"", is 3 fantastic episodes that are part of another great story telling saga in the Serial podcast collection. Relatable, current with the times, and heartfelt."	“We Were Three”, is 3 fantastic episodes that are part of another great story telling saga in the Serial podcast collection.  Relatable, current with the times, and heartfelt.
