comment,replies,date,user_name
"Your story is so empowering, I literally get a lil info and then I get to working on my music!!! 
I love you, thank you so much!
Hope you can listen to my music <3 https://soundcloud.com/linapastel",[],2017-12-04T16:00:03Z,@linapastel2148
Lewis giving her heart eyes lol,[],2017-12-02T15:02:50Z,@heyhuda56
Love this and her! thank you for this interview!! :),[],2017-11-20T22:51:28Z,@radnancy
"This is one of the main reasons why I really respect, admire and trust Lewis Howes; he is extremely transparent.  Who else would admit to not being able to read until 16, and that he cheated on all his exams?",[],2017-11-20T18:46:37Z,@jamiefoamguitar1367
Love That Girl!!... I so can I identify with Sophia's story... Im pretty sure we a related somehow. lol  I first learned of Nasty Gal from Success Magazine.  Very Cool Story,[],2017-10-29T20:19:41Z,@CherieWinship
Great job with all your videos!! I love your content and what you've got going here,[],2017-09-27T03:53:35Z,@Zoe.Bright
"What is she doing now? I heard Nasty Gal filed for chapter 11 in Nov 2016, but got bought out is she still designing for them?",[],2017-08-10T21:20:08Z,@MS-de7bb
My goal in life is to be as calm and collected as this woman. Wow,['Watch the Netflix show on her 😂'],2017-08-06T23:58:01Z,@ms.chanandlerbong2548
Love her and the book!,[],2017-07-27T13:20:17Z,@Traveler_Pie
"""I don't really talk about being a girl that much in it."" It's in the title...",['Mary N *IN* is an abbreviation for *inside*'],2017-07-27T04:19:59Z,@MN-ns1lo
I'm just watching this now and am so interested to see what she is going to do in the next year or two after all the disintegration of Nasty Gal and the show Girlboss only running one season.  I know that she has something next-level within her and I'll definitely be watching to see what happens.  Great interview btw.,[],2017-07-02T02:31:47Z,@CoffeeattheBeach
Great interview. Girl Boss is a fabulous show...disappointed there won't be a season 2. I can totally relate having been a street vendor in Montreal in the early 90's. I just love her fierce attitude and kind heart. TKS Lewis. 🙆,[],2017-06-28T13:09:56Z,@HeatherBoydWire
Lewis Howels are you dyslexic? I am,[],2017-06-23T21:28:32Z,@RDGJointVentures
amazing,[],2017-06-23T00:39:57Z,@TheModalia
Amazing video i learnt a lot ☺️,[],2017-06-18T16:07:16Z,@Juo_officiall
START at 45:00.,['Hahahaha thank you'],2017-06-13T04:56:46Z,@JBulsa
"Wow, she's really pretty",[],2017-06-04T15:28:42Z,@hgpwns
amazing inspiration,[],2017-06-03T01:44:57Z,@aprilMichelleXJRL
She seems so annoyed at him in the end 😅,[],2017-05-29T21:16:26Z,@Nat-cz9yv
i miss the show,[],2017-05-25T06:23:30Z,@blacky3911
"She is gorgeous, smart and inspiring ❤️ loved The interview",[],2017-05-20T03:54:45Z,@sophilosophie
"I need to get her book and yours too! Need to check if it's in my country , Philippines!",[],2017-05-18T22:53:10Z,@jeanie779
Bloody iconic that's what she is,[],2017-05-17T22:45:37Z,@andreeanegreanu9591
Love this women! Always stay honest and real x,[],2017-05-14T17:18:45Z,@lizbatley4839
You interviewed with all my fav! :) #Girlboss  Nice interview!,[],2017-05-14T11:14:35Z,@ravedesignerfashion
Wow-awesome-thanks to all involved:),[],2017-05-08T09:46:56Z,@Lukaplaysminecraft
"Wow it's amazing how she is like me in so many ways, the similarities are almost scary...",[],2017-05-08T07:53:30Z,@peg_e
What a great interview!,[],2017-05-04T17:23:59Z,@majalives
"After reading and watching GirlBoss, I started looking for Sofia on YouTube because I was curious as to how really is in real life, and how much liberty Netflix had with her character/personality. She seems so much more mellow and low-key in her interviews than the TV show character XD","['Yeah, I was not a fan of the show myself. It pandered to some millennial ideal of the go-getter that ALSO gives no fucks, to the extreme. It was annoying and unfamiliar to me, an original Nasty Gal customer so...', 'I agree though at times i have heard her say things during interviews that i could hear coming from the “tv sophia”... i do like the show though', 'She was 22 when she started her brand. She admits she was really rude and self-centered at that time. The show is one of my favorites personally.', 'Jeca Martinez Art same girl same', ""I have watched the whole series many, MANY times and I think if you put Sophia together with a more conservative Annie they were true to who she was. We are multifaceted so that was an interesting choice. I love the show. It's gotten me through some of the worst moments of my life. Girlboss forever.""]",2017-05-04T12:17:40Z,@jecamartinez
this talk deserves a way more views. good job and keep the good work up!,[],2017-05-03T21:35:35Z,@matthiasmuller8847
"totally agree about how messed up education is in the west, not the kids that are the problem...tbh many have realised this and taken their kids out of school and home schooled...kids have become successful and integrated just fine etc",[],2017-04-30T01:58:13Z,@alexmilosev8520
":( Nasty girl is bankrupt now,

cant believe it since i love the book","['chickiewidie How come?', ""Is it because after she's handover the CEO to someone else?  Oh no"", 'chickiewidie She has other business now and she sold Nasty Gal xx']",2017-04-29T00:08:53Z,@chickiewidie
"for someone starting from scratch with not a lot of education, she really understands what it means to be a boss. my boss has his company for 20 years and we are a team of 15 people and he isnt really understanding his different sections of his company or knows his people. am so impressed with her. you indeed need to be an expert in many things",[],2017-04-28T22:41:25Z,@cheriirow
"You guys should get married and make hot and successful baby-outlaws.
Lewis: copy this msg and ask her out.",[],2017-04-26T23:46:37Z,@micaelaarzamendia3882
Nice questions!,[],2017-04-26T20:16:51Z,@vonBRS
I need to get her book,[],2017-04-26T06:22:34Z,@VoxDoll
I love how their books are also like face to face haha,[],2017-04-26T02:33:23Z,@grazietriesto
Good questions!,[],2017-04-25T22:44:53Z,@katherinehumphreys4669
I love love love this video two of my favorite influencers + Ohh My goodness the chemistry between you two was on another level.. 🙌🏻,[],2017-04-24T12:03:18Z,@wwcc8022
33 lol,[],2017-04-24T03:10:01Z,@sarahrattle6375
"She's bankrupt now, right?","['suvariboy shes worth 280 million the company she made her money from she sold years ago......smart woman', 'king koala --   Not true, according to Forbes. ""All told, she is likely to have a few million dollars in the bank from her book advances and sales, personal appearances, and Netflix deal, as well as investments outside of Nasty Gal.""\nhttps://www.forbes.com/sites/clareoconnor/2016/11/11/as-nasty-gal-files-bankruptcy-founder-sophia-amorusos-fortune-decimated/amp/', 'king koala you are stupid as fuck lol']",2017-04-23T23:53:46Z,@suvariboy
I love all of your videos. I cannot believe I have only heard about you few weeks ago. Your videos are inspirational,[],2017-04-23T13:12:16Z,@ramapublishing5
She keeps saying she's an introvert but from her Netflix series I think she's an ENTP,"['They made her character extremely extra for the show lol', ""Astral Cosmos Celestial the Third yes and ENTPs often need more time to process information compared to other extraverts, so they often mistype themselves as introverted. I'm an extravert but I can't stand large social gatherings and pointless outings. I think it comes from a misconception rather than how they wrote the show."", ""Ah, I just looked up ENTP, I thought it was just an abbreviation somehow for extrovert but yeah, I agree now that I know. It says on wikipedia ENTP's tend to be good at generating ideas but not following through with them. That sounds like her.""]",2017-04-23T04:38:26Z,@Villaintown
interesting that she's an introvert and has an extrovert playing her in her netflix show,"[""would be kinda boring watching 13 episodes of an introvert's life, wouldnt it? Netflix has to spice it up, overexaggerate personalities. but yeah, it is funny""]",2017-04-22T02:28:29Z,@potterheadxp
Such an awesome interview! Really love the content of the interview and makes me aspire to think and be more motivated and driven like Sophia. Thanks for sharing!,[],2017-04-11T02:57:08Z,@sgMl329
"Love this lady! Our youth reflects! Not quite our business lives yet, haha -  Awesome chemistry ;)",[],2017-04-04T07:24:24Z,@RebeccaOldfield
Found this very interesting!! Great interview,[],2017-04-03T22:43:28Z,@meghand6864
*NETFLIX*,[],2017-04-03T20:37:21Z,@johnny1785
"Thanks for the great advice! I always love everything Sophia has to say, I can really relate to her!",[],2017-03-10T19:42:38Z,@laurenmcmillan6675
i have her book!,[],2017-03-09T12:47:56Z,@hoyeshibg1370
great interview!,[],2017-03-08T22:45:56Z,@miznikki2u
I love when successful first dates are filmed :),['They would be so cute together! Total power couple as well :)'],2017-03-07T21:56:41Z,@donna4242
Lewis your questions are always amazing.,[],2017-03-06T09:15:05Z,@thelimitlesswoman8385
omg thank you for making these videos I LOOOOVE Sophia and Gary vaynerchuck they give me so much inspiration and confidence to go after my passions and hope <3,[],2017-02-27T05:35:13Z,@mirandahollinger7021
I love all this interviews! Please keep the good work going! :D,[],2017-02-26T11:55:41Z,@elainetsui7325
just bought her book waiting for delivery lol,[],2017-02-11T05:43:15Z,@sigicoria7699
"Listened to the Chase Jarvis 30 days of genius with Sophia and listening to this one was a nice compliment to that video. I like how real and raw she is-- no bullshit, just honest convictions and straight up helpful/applicable advice. I love hearing stories of people who are completely themselves before their success and all the way through the process and even though they are just regular people, what sets them apart isn't where they came from but where they went from that point. People like Sophia--they hustle, do their best, show up each and every day and do the work. There are no shortcuts, just shifting perspectives and playing smart with clarity, vision, and heart. Thanks Lewis for another great video!",[],2017-02-09T09:21:20Z,@BeauBFrank
"""What is netaporter?"" hahaha. Loved Sophia's horror that you didn't know!",[],2017-02-06T15:16:13Z,@sofiagarcialadera6611
"If i were him, i will invite her a coffee.",[],2017-01-28T15:02:37Z,@2MLYU
"Lewis, hopefully you'll see this: If you haven't already, please please please watch the documentary Most Likely To Succeed about disrupting our outdated, bullshit education system. You'll love it! (As would Sophia!) And you should totally get the creators on your podcast to discuss further.",[],2017-01-22T17:45:14Z,@jenniviiv
your interviews rock,[],2017-01-14T06:08:02Z,@SonyaTorrentesoulsense
"Thank you for mentioning GOODWILL!
Our retail stores fund our CAREER SERVICES and create great ENTREPRENEUR opportunities for people with the HEART and HUSTLE like Sophia.

GIRLBOSS!!

I wrote a paper about you and your company back in 2010 and no one believed me that you were going to BLOW UP!

Thanks for not making a liar out of me :)",[],2017-01-11T02:32:11Z,@gabylulu74
sophia amoruso rocks.,['Lewis Howes i know sophia is a great businesswoman.'],2016-12-18T14:02:35Z,@godnlenora
Nasty Gal filed for bankruptcy...,['Janetmouse she sold it good exit strategy for her'],2016-11-18T17:57:22Z,@Janetmouse
"41:03 - 41:35  hilarious! but, don't get me wrong. she's totally smart & funny & inspiring.",[],2016-11-14T07:24:36Z,@LucilleTee
"Amazing Interview, Read her book one of the best I've read, Keep it simple and keep showing up biggest take aways, Thanks Lewis! #DudeBoss #GirlBoss #SchoolofGreatness",[],2016-11-07T12:26:06Z,@KNIGHTEXPLORER1
What great chemistry between the two of you. I hope you both embrace it!,[],2016-10-29T06:29:40Z,@celebratethesacred3654
Brilliant interview! Ready #GIRLBOSS currently - Gonna check out her podcast now too!,[],2016-10-11T09:46:29Z,@TheRyanLamont
"wow..Amazing, good stuff.",[],2016-10-10T10:59:48Z,@dorthymontes993
Fantastic interview,[],2016-10-09T21:00:24Z,@happytobehere200
I got her book. I really enjoy her honesty. I have watched everything that she has put up on the internet. I am glad see that she keeps pushing herself to be great. Thank you.,[],2016-10-03T18:27:37Z,@grafffuller3265
"Shes AMAZe-BAlLS! Love her! Great questions Lewis, especially with the marketing chatter! *Thumbs up*",[],2016-09-27T17:45:03Z,@adiroxstr
best Lewis Howes podcast!! <3 she is such an inspiration,[],2016-09-19T07:29:01Z,@aishwaryasingh9533
quintessential woman!!,[],2016-09-15T04:47:23Z,@gracemanio4566
Girlboss was such an empowering read. Go Sophia!,"[""Hi Odi,funny to come across your comment here on Lewis Hewis' video some 2 years ago :D, I'm also your subscriber Odi 👍🤠""]",2016-09-14T19:03:02Z,@oDiProductions
"Love the banter and the chemistry between you two, and her ""unaffected"" and self-embracing demeanour. This interview really inspired me to lean into my individuality in a way that'll support and inspire the collective, and to embrace being a boss.","['I dont see the chemistry from her to him, but I can tell he is definitely inspired by her success...as opposed to her which is something she needs to watch out for...I hope to see her in some kind of philanthropy in the future...good job xo']",2016-09-11T19:49:33Z,@itjustgotreno
Her teeth! my godddd!!!!!!!!!! PERFECTION,[],2016-09-11T03:03:11Z,@rosaconsuelo5567
"I never heard of her before, but loved the interview,  I will be buying her book for one of my female friends who is starting her own business!",[],2016-09-10T17:16:10Z,@leonkwasichronicles
Great Video!,[],2016-09-01T17:32:59Z,@MrsBrittanyGold
Overall good interview and you tried to keep it flowing but few times she brought things up and then didn't want to talk about it.,[],2016-08-31T03:10:44Z,@Janetmouse
thank you Lewis for listening to your heart and helping people,[],2016-08-27T23:19:55Z,@MarkAugustine
thank you...its hard to keep showing up sometimes. Its greatness indeed to be able to live to our truest intentions after years of falling down and getting up again and again.,[],2016-08-20T14:40:20Z,@darwinreel6190
Great podcast! Loved her book as well. She's a tough cookie for sure.,[],2016-08-19T04:05:10Z,@AzucenaPerez
My nigga Lewis was flirting hardcore lol,"['Finally someone said sth😂', 'Where?', 'they would be  a nice couple !!!', 'no, she needs to find a super nice guy....and whoever it is has to earn her...screw that ....guys think they can get girls whenever they want however they want...i dont think so lol', 'Alex Milosev Plus Shane cheated on her. Idk if thats real though lol, its from the netflix show.']",2016-08-19T00:38:01Z,@yehastud
so inspiring! Love your podcasts,[],2016-08-18T01:03:30Z,@kennedyhopkins6170
another good one. Enjoyed. Thanks Lewis for the incredible stuff !!!,[],2016-08-17T10:18:46Z,@sameerbhatia451
Restrain yourself and then let other people drive themselves crazy. I totally get it 😉,['me too..'],2016-08-14T21:40:56Z,@mylifeinfitness
lewis once again great interview thank you!,[],2016-08-11T20:57:07Z,@zacharysanders1
"Great interview. I like her honesty about the ""behind the scenes.""",[],2016-08-11T15:28:17Z,@trevthorne7318
very inspiring interview!,[],2016-08-11T01:04:07Z,@b.xander4667
"nice interview. She seems v honest + ""don't mess with me"" kinds!",[],2016-08-11T00:59:50Z,@Captain_Tiger
amazing interview!!!,[],2016-08-10T20:16:36Z,@yujitsuzuki5439
👍✳️👍🌺👍✳️,[],2016-08-10T20:03:32Z,@marvona3531
👍✳️👍✳️👍✳️,[],2016-08-10T19:55:53Z,@marvona3531
"He Splendid Lewis, the title misses a p in her name.",[],2016-08-10T17:08:42Z,@splendidcoaching1902
Loved the interview!!!!,[],2016-08-10T15:25:27Z,@MrsEstyS
Loved the book. Name is spelt wrong in title of video :),[],2016-08-10T14:21:53Z,@coachlana8119
The next book for my Book Club... this interview was right on time!,[],2016-08-10T12:59:53Z,@SADEONTHERUN
Sofia is a BOSSSSSSSSS! Loved this interview! Thanks Lewis :),[],2016-08-10T12:26:59Z,@CharlesChenTV
"That was a great interview.:)  Love this, i have read the girlboss, and it was the first real motivation book that caught my eyes, and my attention, so enjoyed to see who was behind the book. I love the part where both you where talking about how fails and past mistake dont necessary make the person, but build the character of the person want to be.",[],2016-08-10T11:02:13Z,@QueenCNow
💕💕💕💕Sophia 💕💕💕💕🌹,[],2016-08-10T09:53:14Z,@sp500-steph7
