rating,title,content
5,Just what I needed,"This is just what I needed. Some (body-) positive news, with one of my favourite presenters. Go and listen! ❤️"
5,Simply amazing!,I’ve been loving it! You are the only person who made me listen to a podcast fully! This is so entertaining and at the same time full of food for thought content.
5,Love it!!,Hi Jameela! I started listening to your podcast one month ago and it’s so far my favourite. 😍😍
5,Realest,Thank you for allowing me to look at my own shadows without shame; this journey with Jameela Jamil and guests is teaching me to love myself deeper and more completely and that I am not alone
5,Love this podcast,"I love Jameela’s honesty in her struggles with her body, her guests are wonderful and it’s overall just a safe space for my brain."
5,Uplifting podcast!!,"Thank you!! Love the new direction and focusing on how to better ourselves. You and Grace Campbell should both be on a podcast! You’re both hilarious, honest and sounds like 2 old friends! Love it!!! 💙 from 🇨🇦"
5,😍😍😍,Huge fan of the podcast! Been listening since it first started. I have grown so much as a result and absolutely love Jameela! Xoxo
5,Greta,👏🏻👏🏻👏🏻👏🏻👏🏻 Thank you.
3,The music needs a small tweak…,"Brilliant podcast. I feel like I’m being snuggled by the warmth and love of all the messages that Jameela is sending in her soothing voice. Even the guests I’m not keen on listening to, I end up loving. Thanks for using your platform to spread awareness for such important human issues with all of your brilliance!! 
BUT at the segment break, the music (sax? Trumpet? I’m not sure!) makes me literally jump because it sounds like a train is coming. It freaks me out every time, even when I’m on the freeway! Like obvs no train is coming… it’s life a reflex lol Driving is the only time I listen! 
 I know it’s your longtime bf so I’m really sorry to say. ❤️"
5,Ask Jamilla anything.,"I listened to my first episode and it was ask me anything, where you spoke about weight loss. Good for you for your honesty. I wish more of Hollywood would speak out like this. Good for you."
5,Much needed real talk,"I appreciate this podcast and the diverse topics. The host is so honest and authentic with a side of
Silly."
5,I LOVE YOU!!!,"Thank you, you’re podcast is amazing. It has helped me come to terms with my body dysmorphia and mental health."
5,Grateful,This podcast has changed my life! Thank you for being honest and speaking so truthfully!! Xox
5,Incredibly Empowering! I’m hooked.,"I was introduced to this podcast about a month ago when my sister shared the episode with Maisie Hill. Ever since I have been OBSESSED. Jameela is so frank, vulnerable and intelligent. I love her and I love this show. Thank you Jameela and thank you to all the incredible guests who speak so openly on this podcast!"
5,The best!,"Interesting and empowering topics! I love everything about this podcast. Thank you, Jameela :)"
5,Great listen,Jameela is wonderful and addresses meaningful topics in a relatable way.
5,Absolutely love!,"diverse, positive, and absolutely necessary conversations. What a great podcast! Highly recommend to anyone- there’s loads of interesting things to learn and different perspectives shown. Can’t get enough!"
5,Love this podcast!,"I love the guests; I love the dirty, dumb jokes; and most of all, I love Jameela’s approach that we’re all just learning and trying to do our best."
5,A Change Your Life Kind of Podcast - BANGER!,"I LOVE this podcast. Whether it’s the mindfully inclusive and sensitive way that Jameela phrases and constructs her questions (which gives me pause to do the same in my own life), her candid revelations about her own mental health journey, or how each guest along with the host gives a little bit of themselves to us, thereby enriching our own lives and unearthing methodologies and coping strategies to help us live them. 
This podcast gives you something. You’ll yell “Yes!”, “Exactly!”, “Wow!” You’ll cry. You’ll laugh. You’ll find parts of yourself you didn’t know were there. Most importantly this evicts you from feeling like you’re alone in this world and that you’re the only person dealing with what you are dealing with. Cuz babe, ya ain’t! ❤️"
5,This Lady Is The Best!,Wow!! I don’t even know how to explain how much I love this lady and this podcast! So many topics that are so important for anyone to hear! Thank you for continuing to create this wonderful source of information.
5,A great podcast,I discovered this podcast about a year ago and since following I’ve learnt so much and feel that it’s added so much value. Thank you for all that you do. I truly admire all the hard work you are doing
1,Insufferable,Dr Jen Gunter is toxic. Unsubscribed for poorly choice of guest.
5,Love love,"One of my favourite podcasts ever, Jameela is an amazing host."
5,I keep learning so much from this pod,Jameela is so funny and authentic and this podcast will make you laugh and cry and think! Great and interesting guests with so much to share. Thank you!
5,You’re great x,"Podcast is boss.  Love it!
Any chance you’d consider easing up on the cuss words?  Only because I’d like to listen while the kiddo is around 😃
Thanks for all you do!"
5,Self care,"Absolutely addicted to Jameela’s honest, raw and sarcastic sense of humour when she addresses so many relatable issues in society today. I have made iweigh staple in my Sunday self-care routine and have yet to be disappointed by an episode."
5,Well,I feel like all other 5 star ratings I’ve given up as a lie now.  The bar just got higher.
5,This podcast is so important,So important for people everywhere to hear these messages. Thank you Jamila 🙏❤️
5,Neal Brennan and Jameela,Delightful! I love how these two interact and bounce off each other!  Best episode yet!
5,❤️,Love Jameela and this podcast so much❤️❤️❤️❤️❤️❤️
5,Thank you Jameela!!,"Being a white woman, listening to this podcast has helped me with my intersectional feminism and direction in where I can learn more from marginalized folks

Love how open Jameela is about her mental health, weight changes, sexuality, etc."
4,Great podcast,"I love this podcast and the guests. The discussions are great. However, I’d like there to be a timing given when there’s a trigger warning because otherwise it just comes up and it is not funny when people give their actual weight when asked what they weigh."
4,Well-intentioned,"I would love to rate this five stars. These are such insightful and helpful conversations. I think Jameela is improving as an interviewer, but there are a lot of interruptions of the guests. It struck me especially when she interviewed Munroe Bergdorf. I feel like this happens the most when Jameela knows the guest well. She gave Matt McGorry plenty of space to answer. While there could be some improvement, I think it will come with time and experience with the format. I keep finding new activists to follow, so there is so much value for me in that alone."
4,Never miss an episode!,"This is a fabulous podcast, and I look forward to each episode. The guests and conversations are so intriguing and informative. I love Jameela’s humour and authenticity. Love love love iWeigh!"
5,Just THE best !,"Enlightening, brilliant, funny and REAL conversations. I love the way this podcast is recorded, Jameela and her guests talk about really intriguing topics and bring to light many issues I would never have thought of. The I Weigh podcast and I Weigh page/community helps me become aware of my ignorance. THANK YOU for the sharing."
5,love,"I love listenig to this podcast in the evening, sometimes I even do yoga while listening.  This podcast is great if you just want to chill out an feel good about yourself, learn to respect yourself and love yourself a little more.  thank you ❤️❤️"
5,Laughs and thoughts and farts.,"I loved Jameela’s episode with Aisling Bea. I laughed! I wrote down quotes (“Things should always be a listen-able moment, but they don’t need to be a teach-able moment”)! I added book recommendations to my audio book list (Period Power)! And I will definitely be listening to many more episodes. Bravo!!"
5,love love love it!,"I really love this podcast, has been GREAT listening to it while in quarantine!"
3,It has potential,"A lot of great guests and interesting topics discussed but I think the podcast would be smoother and more interesting if the guests were more the focus of the conversation. While it’s good for the host to agree and relate her own experience, the conversation should be more about the guest."
5,Love this podcast!,Jameela I LOVE this podcast and it couldn’t have come at a better time. You are so real and lovely and your dynamic with your guests is really enjoyable and insightful. Your guest choices are also absolutely incredible! What a hot pack to start with :)
5,"Fresh, honest, real, flaws and all","This is a great podcast especially in the time we are living in. Hearing how the conversations evolve and how flaws are celebrated is just a breath of fresh air. I appreciate the honestly and genuine nature of this podcast so much. I weigh my big heart, my empathetic nature and my independence as a woman. Thanks from Canada! Xoxo"
5,Amazing,Thanks Jameela for this podcast! I never comment on anything but your conversations around a woman’s layers of deep worth just uplifts me and my feelings around myself (as a “somewhat” recovered anorexic) every listen. Your words are so sadly refreshing but so absolutely welcomed and transformative. Thank you for everything you do and stand up for!
5,Love!,"I love Jameela and how empowering she is, along with the messages she is trying to give off! Love this podcast and cannot wait to see what other amazing guests have to say! ✨"
4,"Great, could use a little tweaking",Overall the conversations Jameela has been having with her guests are fantastic and I love it. However I would agree with other people’s comments about her talking style... she does talk over people a lot and it’s frustrating. She has a tendency to interrupt and redirect the conversation. I think if Jameela would slow down a little and let the guest speak more openly it would be a lot better.
5,Love!!,Love this podcast !! Would highly enjoy and interview with Phoebe Robinson and Jessica Williams :)
4,Love them!,"I agree with other reviews, that the guests should be able to talk more, the questions are a little long, but I still love it!"
3,Feedback,Love the podcast- guests are inspiring for a young woman in business. I would add to try and let the guest speak a bit more- I find they get interrupted too frequently.
5,"Empathy, everyone, please.","I am already a fan of @i_weigh and I love Jameela Jamil’s work. I think she might be just experiencing the “podcast debut gibberish” syndrome. ALL of the podcasts I’ve been following have started like this for the hosts. It’s the stress of wanting to cover all of your questions, of filling in all of the blanks, of naturally being excited/anxious for your firsts episodes.

You shouldn’t worry about it. So many hosts went through the same experience. I know Dax Shepard and Anna Faris got the same comments when they started. It is just gonna get easier, more natural and better and better over time.

Thank you Jameela for initiating much needed conversations
Love you🌈💛"
1,Insufferable,Jamil’s desperation for attention is unsettling. She needs to learn to listen and not talk for a while.
1,Would like to hear what guests have to say,I like the idea of this podcast but the guests were constantly being cut off.
5,Amazing,"This podcast is so fantastic. Only 2 episodes have been released, but Jameela Jamil’s honesty and fantastic interviewing skills make this podcast one of my favourites. This podcast educates, inspires, and entertains. I can’t say enough about this. Love all the way <3"
5,Thank you!,Just really awesome.
5,Thankyouthankyouthankyou,Two episodes in and I am already in love with this podcast.  THANK YOU for your interviews and work.  I love it all
5,Just what I needed,"Thoroughly enjoyed the banter and shared vulnerability! Natural flow of conversation much appreciated, I believe you do a great job of enabling your guests to speak. Thanks so much for providing insight and laughter."
1,Let Your Guests Speak,"That is all, really. Please let your guests get a word in 🙏🏻"
5,eye opening,definitely an amazing podcast that really helps open one’s eye to many overlooked topics!! i can think of so many people who need to listen to this! :D
5,❤️❤️❤️,Love love it!!!
1,The last thing we needed,"The last thing Jameela jamil needs is another platform for her to spew her highly misinformed takes on just about everything. The world would be better served if she sat down and listened for awhile. Listened to trans and non-binary voices, listened to poor voices, listened to fat women, just listened. Instead here she is attention seeking yet again."
5,Radical compassion - yes!!!,"I Weigh is gorgeous, gentle, hilarious, and compassionate. Exactly what we need in fatphobic culture."
1,Contrived and boring,Wasn’t impressed - the interview didn’t flow and was very negative
5,Thank you,I am an avid podcast listener. I love them all. This is my first review because what you’re sound is amazing and important.
5,Thank you ! ♥️,"Thank you so much to you and your team for putting a such interesting content out there. Listening to you having these conversations with your guests in such a natural and well thought out way has been a real pleasure since I discovered your podcast. It brings me joy, comfort, a feeling wellbeing (in a kind of ASMR way…) and so much food for thought. I always make sure to find some time for it. ♥️"
5,Spiritual break,"I feel understood when I listen to I Weigh. She is so special and magical. You can only feel better even when she talk about horrible things, somehow because she is so open and she said that nobody else is saying, it still feels good. 
She is my spiritual break and s the sense that I recharge my spiritual beliefs with her. Love you Jameela."
5,Thank you,"For your podcast ! Your voice, the tone, are amazing, and I like that you’re frank! The conversation flows and i love spending hours listening to it, even if I don’t know half of the people that are interviewed (I’m french). I learn so much! I hope you love making it as much as it is loved by listeners 🌞"
5,"Amazing podcast, host and guests",Thank you so much for this incredible podcast ! I look for forward to every episode ☺️
5,Amazing podcast,"The episode with Dr Jackson Katz was so great, thank you so much for this"
3,Needs to let her guests speak a bit more,"I love Jameela and all she stands for, but especially interviewing the tabloid journalist I felt that she dominated the convo a bit much. Anyone already familiar with Jameela will know her thoughts and opinions on the media well. I feel like her guests need to be given a bit more air time before she jumps in to add her thoughts and experiences."
5,Brilliant ❤️,"So funny, so smart! I’m always waiting for the next episode."
5,Just so good !,Such a great podcast ! So many different and interesting people as guests ♥️ I’m learning a lot on very various and important subjects.
5,A M A Z I N G,Everything’s in the title
5,Refreshing and inspiring!,"Love what you do Jameela, you’re so inspiring. Your podcasts are just perfect. Like a warm cup of hot chocolate on a snowy day. I’d love you to hear one with Marina. ☀️"
5,Thank you,"This is both educative & refreshing!! Amazing and needed podcast. Finally voices and stories we can identify with and reflect upon in our own path, our own personal struggle and journey to self-love & self-care."
5,Simply amazing,"This podcast is soooo good and remarkably funny! So many inspiring people!! Jameela you rock, thank you for what you do and who you are"
5,"Unusually honest, thank you","for putting yourself out there.
You are making a difference."
5,Thank you 🥰,Such a wonderful and powerful podcast ! Thank you ❤️
5,Empowering Jameela Jamil,The only thing I need to say is thank you for existing Jameela Jamil.
5,One of the best podcasts on here,I never miss an episode! It is a happy place and an amazing source of information and humanity for me. Thank you Jameela!
5,Love,"Love Jameela
Love this podcast
Love the guest selection"
5,Brilliant,"Love Jameela, love this podcast. She is a massive inspiration."
5,Delightful 🤩,"An absolute delight of a podcast! 💙…and on the side, you are supporting - of what is in my humble opinion a still very much underrated - movement!"
5,Truly life changing,I cannot express how much this podcast changed my life. I’ve never felt so seen and confirmed in my person. Thank you. Thank you for doing this.
5,Such a treasure,"Discovered this podcast only recently and am working my way through the back catalogue. So many interesting conversations, and so helpful in shifting the way we perceive ourselves and how we look. Absolutely love it!"
3,<3,"I really like Jameela and the topics all in all, but I would love to hear way more from the guests. Seems they don’t get the space they deserve. Therefore I feel why not just do a podcast without guests?"
5,Truly Beautiful,"I started listening to this podcast this morning on my walk and it accompanied me during my entire day, making me laugh, think, smile and cry.
Thank you Jameela and every guest she has on her podcast for creating this beautiful, healing space!"
5,Brilliant,"This podcast is simply amazing. I love how insightful, true and accurate it is and how it helps me to understand myself and others better. So grateful for this!"
1,Came to LISTEN  to Joanne Mcnally,😢😢😢 she didn’t have a chance in hell
5,I just discovered gold!,"Hi. 
Sorry about the cheesy subject line. I’m bad at subject lines. Horrendously bad. 
And I also used to be a comedy writer, so I have no excuse. But that is the reason I found this wonderful podcast, because I’m a Rachel Bloom fan and I listened to your interview with Rachel and… and then just kept listening… and over the course of a night when I couldn’t sleep I binge-listened to a lot more episodes and today, when I’m working (pretending to work) I’ve listened to several more.
I now have a new favourite podcast. That’s your fault. I hope you’re proud of yourself :)"
1,We want to hear from your guests!,"Episode with Joanne McNally, heard more about Jameela than Joanne. Let your guests talk!!!!"
5,Love this,"The episode with Clementine ford, was so true and it’s nice to know there are other people out there that think the same. I’ve been in a relationship for 25 years and not married. An don’t want to get married"
5,"Thought provoking, educational and funny","I have been listening to this podcast for a few years now and I've learnt so much. Jameela is such a funny and interesting host and I love hearing what she has to say and the natural conversation that occurs between her and her guests. The guests she has introduced me to have been so interesting and enlightening and have definitely helped me to be more compassionate and understanding.  It's been really fascinating to watching Jameela on this journey too, as she is clearly learning as much as we are from the podcast experience and I'm totally here for the more optimistic and self-empowerment vibes shining through in the more recent podcasts. As a woman just a few years younger than Jameela, it's incredible to have had this empowered female voice unapologetically taking up space (and yes, to those who said she 'talks too much', that includes taking up  as much space as she wants to on her OWN podcast and it's all interesting and often funny) and being willing to grow and change along with her audience. Ah, Jameela, you're the big badass sister I never had ❤️"
2,Really interesting but,"I love the topics and guests but Jamila, please let your guests speak and don’t cut in and talk over them. On few occasions you both are talking over each other and it’s in comfortable to listen to. As the one with the guests it’s important to allow them the time to talk and that accounts for periods of silence, that isn’t a Que to jump in and give examples etc. important to reflect on that as it’s slowly turning me off your podcast and seems like others and thinking the same. I really like the topics so plz, consider it!"
1,Guests need to be better researched,When this podcast first came out it was a breath of fresh air and inspirational. Unfortunately recently it has served to platform unqualified guests who are uncritically allowed to spread misinformation (e.g. the Glucose Goddess and Dr Caroline Leaf). I beg the producers to do 10-15 minutes of research on their guests beyond their own websites as what is said can be truly harmful to the audience.
5,Love this podcast!!,"It covers such a range of interesting, relevant and important topics, and Jameela is such a great host!"
5,One of my fav podcasters & badass women!,"I absolutely love you & your podcast.  You are a regular voice in my ears as I drive around London in my taxi at work.  Thank you keeping me company, for the tears of joy and laughter and for sharing your wisdom with us you absolute legend, much love from South East London xxxxx"
1,Weekly Virtue signalling,"This is exhausting to listen to, it’s just an endless echo chamber of people virtue signalling to each other. And Jameela as a host is completely insufferable, as 90% of every episode is just her talking and answering her own questions rather than letting the guests speak. Garbage."
5,Love from Jamaica 🇯🇲,"One of my favourite voices on Podcasts. I relate to so much of what you talk about and I love your instagram feed as well. Thank you for all you do and making my day, helping so many people and being real. I listen to you in the car, when I walk, and now as I have been in hospital for 11 days. Thank you, Jamila xxxx"
1,Meh,Meh
2,You will learn more about the host than the guests,Many great guests and interesting topics. Its just such a shame they are difficult to enjoy and learn from as the host constantly interrupts her experts and continually talks about herself so much so it’s impossible to listen too. Interrupting an expert talking about narcissism to talk about herself was the last straw…
1,I thought I would love this,It’s just a relentless feminist rant - exhausting - disappointing as I think Jameelia is so talented - this seems to be a vent for pent up anger.
5,Enlightening,"Out of curiosity, I listened to the Shon Faye interview and am reading her book. In recent times all I’ve heard on the media are problems with toilets, changing rooms, prisons, sports, etc, and nothing else. A very interesting and intelligent discussion and perspective which I had not heard before."
5,At last!,"A woman who is unafraid to tell it like it is. Takes no prisoners but is refreshing vulnerable at times👍you are an inspiration Jameela keep telling your truth, it is helpful for me and I’m sure many others out there.
Much gratitude Sandra."
5,Brilliant pairing.,"Simon and Jameela. Hilarious, moving and I’m off to get myself a comedy hat."
5,Josie Naughton and Jameela,March made in heaven. My favourite one so far
5,"Well done, Jameela!","I absolutely love this podcast and I think Jameela is excellent. Brilliant interviewer, balanced, focussed, articulate, astute and totally hilarious. This is a joy to listen as well as being incredibly important and informative"
2,Lots of potential but need to let guests talk,"Have listened a few times and really like Jameela and her guests however find that Jamil relates to the guests far too much / talks too much which is really frustrating once you notice it. You’re doing a great job and have great guests just please give them the space to speak, particularly noticeable on the Marina interview which I was so excited about but I feel like we barely got a chance to listen to her. All the ingredients are there (passionate, inquisitive host and interesting guests) but the interview style needs refining!"
5,Great conversations,This is great - interesting guests with diverse life experiences. And conversations are so much better than one sided interviews. Enjoying the podcast a lot!
5,Really great conversations,"I just had a quick scan of reviews so wanted to add my view. I’m a relatively new listener but really enjoying what I’ve heard. The variety of guests is so brilliant and I am learning loads. I can see that there’s a lot of criticism about Jameela talking a lot, but I am not tuning in for an interview. I like hearing the conversation; I think Jemeela often asks great questions and I like hearing her perspective. I feel like she creates a nice atmosphere and the guests respond well. I am so looking forward to hearing more."
1,Jameela Jamil Interviews Jameela Jamil,I tuned into this podcast to listen to the interview of Marina Diamandis. Little did I know it would be a 1 hour monologue by Jameela Jamil. The cardinal sin of an interviewer is to not let your interviewee speak and to constantly talk over them. Such a pity - hugely disappointing.
