title	review
Important stories	These are really important stories from voices not always heard. Confronting at times, but so helpful for those of us who want to understand how we can end abuse, violence and worse in the home.
Fantastic	So brilliantly done. Can’t wait to listen every week.
National Emergency	How will we reach those other than the converted?
A must listen	Such an important topic, this is a privilege to listen too. One of the small things we can do to support victim-survivors is to listen to their stories.
Bravo	Bravo on leading this conversation the way you are. And thank you.
The more stories we hear the more we are able to share	"I am in awe of the strength of Women to share their stories & heartbroken with what they say.
‘This is how a movement starts….people talking’"
Important info	Looking fwd to hearing the series- important issues which need to be highlighted and spoken about.
Empowering Women to understand Domestic Violence	The only way to educate Women on DV , is to get podcasts like this out there ! Especially powerful when listening to DV survivors and their families ! I look forward to the first episode and sharing with my clients and their families in Therapy !
Can’t wait to hear this ❤️	What an incredible team behind the scenes and behind the microphone on this podcast! I can’t wait to hear how Future Women tackles the crisis of domestic and family violence and tells the stories of survivors.
Groundbreaking, beautiful and so necessary.	This podcast has listened to the voices that are so often excluded in the narrative around DV - the survivors themselves. The commitment to sharing real and diverse stories is fantastic. Cannot wait to tune in every week.
