index,user,timestamp,rating,title,review,review_raw
21,MaverickAbundance,20221217T235337,5,Season 3 - Shocking And Upsetting!,"I can't believe how corrupt this police department is! And they keep doing the same cruel, evil, unethical and unacceptable behaviors!","I can’t believe how corrupt this police department is!!!
And they keep doing the same cruel, evil, unethical and unacceptable behaviors!"
28,Sassy2u15,20221212T161658,5,We Are Three- Loved It,"What a great change on the podcast with the series ""We Are Three."" Very captivating and poetic with the way Rachel spoke and wrote her poems.",What a great change on the podcast with the series “We Are Three.” Very captivating and poetic with the way Rachel spoke and wrote her poems.
29,Vane315,20221209T183214,5,John B-Stown,Ok! I just finished John's story...is my favorite so far. Brian you did an amazing job.,Ok! I just finished John’s story…is my favorite so far.  Brian you did an amazing job.
30,Sunflower uwu yt,20221203T013626,5,Season 1 - Adnan'S Case,"I am a True Crime enthusiast and this is one of the most detailed re-telling of a case including great first hand investigative journalism with unbias coverage regarding this case, she certainly creates a vivid picture of the investigation as well as deep diving into the people associated with the case, thank you for what you do!","I am a True Crime enthusiast and this is one of the most detailed re-telling of a case including great first hand investigative journalism with unbias coverage  regarding this case, she certainly creates a vivid picture of the investigation as well as deep diving into the people associated with the case, thank you for what you do!"
31,Elifayno,20221128T223726,5,Kept Me Hooked,I was hooked all the way through. Excellent!,I was hooked all the way through. Excellent!
40,Lightning121710,20221105T073201,5,Trojan Horse Is An Incredible Experience,"I'm still in the middle of Trojan Horse, and it's incredibly beautiful storytelling. The two journalists are building a friendship as well as a story, and it's fascinating and entertaining to hear. As a teacher in the US, I understand a little of the frustration when others make assumptions without evidence, although I was also surprised that the UK schools require a daily worship experience! I was disappointed, but not shocked, to read the number of lazy, entitled reviews of this podcast. If you're planning to write a review, please google what that is! Nothing is going to be perfectly suited to your exact specifications, and no storyteller is going to change themselves for you. If the podcast isn't for you, try mentioning some quirks that will help others decide to watch or not. Your over sensitivity to ideas that aren't limited to your tiny box are unimportant.","I’m still in the middle of Trojan Horse, and it’s incredibly beautiful storytelling. The two journalists are building a friendship as well as a story, and it’s fascinating and entertaining to hear. As a teacher in the US, I understand a little of the frustration when others make assumptions without evidence, although I was also surprised that the UK schools require a daily worship experience! 
I was disappointed, but not shocked, to read the number of lazy, entitled reviews of this podcast. If you’re planning to write a review, please google what that is! Nothing is going to be perfectly suited to your exact specifications, and no storyteller is going to change themselves for you. If the podcast isn’t for you, try mentioning some quirks that will help others decide to watch or not. Your over sensitivity to ideas that aren’t limited to your tiny box are unimportant."
44,JamR0ock,20221031T071632,5,Good Stuff,"Serial is great, and anyone who's crying about it being ""leftist propaganda"" needs to take several seats. If you can't listen like you have some sense, then maybe this podcast isn't for you.","Serial is great, and anyone who’s crying about it being “leftist propaganda” needs to take several seats. If you can’t listen like you have some sense, then maybe this podcast isn’t for you."
47,mabellilla,20221028T165201,5,Amazing,"Love all seasons but the We were three was absolutely tear jerker for me and just so so good,","Love all seasons but the We were three was absolutely tear jerker for me and just so so good,"
50,nicoleflewell,20221025T061433,5,We Need An Adnan Follow Up!,"Sarah - we need to hear from you and Adnan. Your reporting, along with his family and friends, is what has freed him 18+ years later. This is revolutionary and we need to talk about it! Justice has been placed in the hands of the (no offense) every day investigators as the justice system, once they make a decision writes people off for eternity. Your show changed me, and so many people. Justice has been finally served for Adnan, but obviously justice for Hae is still desperately needed for her family. Please, please, please bring your perspective for a follow up episode. Your OG Serial fan base is here and waiting!","Sarah - we need to hear from you and Adnan. Your reporting, along with his family and friends, is what has freed him 18+ years later. This is revolutionary and we need to talk about it! Justice has been placed in the hands of the (no offense) every day investigators as the justice system, once they make a decision writes people off for eternity. Your show changed me, and so many people. Justice has been finally served for Adnan, but obviously justice for Hae is still desperately needed for her family. Please, please, please bring your perspective for a follow up episode. Your
OG Serial fan base is here and waiting!!!!"
51,Benhoni,20221025T010052,5,3 Powerful,"""We Were Three"", is 3 fantastic episodes that are part of another great story telling saga in the Serial podcast collection. Relatable, current with the times, and heartfelt.","“We Were Three”, is 3 fantastic episodes that are part of another great story telling saga in the Serial podcast collection.  Relatable, current with the times, and heartfelt."
52,Surf4evah,20221021T042106,5,"Time To Take A Bow, Ladies","You need to do an Adnan episode where you squarely acknowledge that you two were the but-for cause of Adnan being freed, and celebrate it. You might feel embarrassed about it, but actually I think it'd be the gracious thing to do, rather than have people think you're sitting there in smug silence knowing that it's true, but not celebrating it. You guys are like the Christopher Lambert of this case, only in reverse!","You need to do an Adnan episode where you squarely acknowledge that you two were the but-for cause of Adnan being freed, and celebrate it. You might feel embarrassed about it, but actually I think it’d be the gracious thing to do, rather than have people think you’re sitting there in smug silence knowing that it’s true, but not celebrating it. You guys are like the Christopher Lambert of this case, only in reverse!"
54,Thomakye,20221019T181216,5,Obsessed,"I love all of the Serial podcasts, thorough journalism and just well told. Can't wait for the next one.","I love all of the Serial podcasts, thorough journalism and just well told.  Can't wait for the next one."
60,Yvonne in Chicago,20221019T003044,5,Thank You,The recent series We Were Three is so touching and great. Keep up the great series stories!,The recent series We Were Three is so touching and great. Keep up the great series stories!!!
61,MelissaMarie7,20221018T143551,5,Complex Story Told Thoughtfully,This captures perfectly the complexity of feelings brought on by the pandemic. I'm sad for everything that Rachel and her family went through on top of an already complicated situation. I appreciate her vulnerability by sharing this story and the care to which Nancy Updike took to tell it. This wasn't just another podcast to consume. This was someone letting the rest of us into her life.,This captures perfectly the complexity of feelings brought on by the pandemic. I’m sad for everything that Rachel and her family went through on top of an already complicated situation. I appreciate her vulnerability by sharing this story and the care to which Nancy Updike took to tell it. This wasn’t just another podcast to consume. This was someone letting the rest of us into her life.
63,DebPDX,20221017T191418,5,You Guys Are Awesome!,Thank you for such wonderful reporting and interesting stories. I love you guys. Keep up the great work.,"Thank you for such wonderful reporting and interesting stories. 

I love you guys. Keep up the great work."
64,bdudlick,20221016T141811,5,Look Forward To Every Series,"There's probably never going to be a series to match the impact of season one; however, each series has the feeling of being ""Serial"" because of the thoroughness and compassion for its subjects (even S—-town that went a bit off the rails in the later episodes). I'll always look forward and listen to the next series of Serial. Thank you.","There’s probably never going to be a series  to match the impact of season one; however, each series has the feeling of being “Serial” because of the thoroughness and compassion for its subjects (even S—-town that went a bit off the rails in the later episodes).  I’ll always look forward and listen to the next series of Serial. Thank you."
72,Hollyhoo1,20221015T195939,5,We Were Three,Sorry for Rachel that tRump contributed to the death of her father and brother. The misinformation distributed by his idiots produced doubt in their ability to believe actual medicine could save them.,Sorry for Rachel that tRump contributed to the death of her father and brother. The misinformation distributed by his idiots produced doubt in their ability to believe actual medicine could save them.
76,willlh77,20221015T022701,5,The Podcast All Americans Need To Hear,"The way this podcast is done and the stories they take on are important. It is insightful and enlightening, though it shouldn't be as these stories shouldn't have to exist in the first place. This is what America looks like and I am grateful that real people take the time to let others know about these extremely important issues that have huge consequences for real humans. At times it hurts, at others it makes me really angry, but it always makes me think. Please listen. Please. Also thank you to all of you that have a hand in making this great podcast!","The way this podcast is done and the stories they take on are important. It is insightful and enlightening, though it shouldn’t be as these stories shouldn’t have to exist in the first place. This is what America looks like and I am grateful that real people take the time to let others know about these extremely important issues that have huge consequences for real humans. At times it hurts, at others it makes me really angry, but it always makes me think. Please listen. Please. Also thank you to all of you that have a hand in making this great podcast!"
77,Jamie Lee D,20221014T175220,5,We Were Three,This installment of Serial is nonfiction at its most human and universal. Thank you for it.,This installment of Serial is nonfiction at its most human and universal. Thank you for it.
80,diana va 18304,20221014T024259,5,We Were Three,"Wonderful in depth look at an intense relationship between siblings and their father. What we can learn by revisiting the past, living in the present and our hopes for the future. Thank you.","Wonderful in depth look at an intense relationship between siblings and their father. What we can learn by revisiting the past, living in the present and our hopes for the future. 
Thank you."
81,Jolanta De La Rosa,20221013T191643,5,Wow,Great podcast. I am so thankful I found it,Great podcast. I am so thankful I found it
83,Mkpinkshoes,20221013T161438,5,The Podcast Of All Podcast,"Sara is amazing - fair, funny, easy to listen to. Pleeeeeeese continue to explain current events as they progress!","Sara is amazing - fair, funny, easy to listen to. Pleeeeeeese continue to explain current events as they progress!!!!!!!!!"
85,kgreen327,20221013T153436,5,Justice Restored-Adnan Syed,Thank you for helping him. Without this they probably wouldn't have looked further. He's free and now he can live his life!,Thank you for helping him. Without this they probably wouldn’t have looked further. He’s free and now he can live his life!
87,idontknowY,20221013T112158,5,The Best Podcast,This podcast legitimately popularized the medium as we know it today.,This podcast legitimately popularized the medium as we know it today.
89,kay sharon,20221012T120205,5,Amazing,"You people doubting Sarah's hard work and dedication needs to get a life and more specifically, some prayer! She was 100% clear about the way she did her research. She wasn't picking sides. She was showing what she'd learned, even what she discovered got y'all mad because an overwhelming amount of evidence showed he couldn't be the blame for the unfortunate fate of Ms. Lee. IT IS CLEAR HE IS INNOCENT! DNA evidence doesn't lie! Adnan is innocent no matter how much you don't appreciate her work! Thank you, Sarah for being bold enough to tackle such a harsh, old and controversial case! Please keep up the good work!","You people doubting Sarah’s hard work and dedication needs to get a life and more specifically, some prayer! She was 100% clear about the way she did her research. She wasn’t picking sides. She was showing what she’d learned, even what she discovered got y’all mad because an overwhelming amount of evidence showed he couldn’t be the blame for the unfortunate fate of Ms. Lee. IT IS CLEAR HE IS INNOCENT!!! DNA evidence doesn’t lie! Adnan is innocent no matter how much you don’t appreciate her work! 

Thank you, Sarah for being bold enough to tackle such a harsh, old and controversial case!!! Please keep up the good work!!!"
91,Mommyteach29,20221012T013445,5,Your Awesome!,So glad you took on Adnan case! I've been fill since 2014 and finally! Justice!,So glad you took on Adnan case!! I’ve been fill since 2014 and finally!!!! Justice!!!
93,malissaochoa,20221012T010458,5,Yay! Syed!,"I would not have know anything about this, if not for your podcast. It was the first podcast I ever listen to in my life. I knew he was not guilty, and have been rooting for him ever since. Look what you started! One person! You made a difference. God bless you and your team:)","I would not have know anything about this, if not for your podcast.  It was the first podcast I ever listen to in my life.  I knew he was not guilty, and have been rooting for him ever since.
Look what you started!  One person!  You made a difference.  God bless you and your team:)"
94,Jaadciam,20221006T165331,5,"Sarah, You Did It!",Thank you so much for taking on this case all those years ago.,Thank you so much for taking on this case all those years ago.
97,ReptileGirl01,20221004T200416,5,Definitely Recommended,"I started listening to this after my mom recommended it to me. It's insanely good, especially the Adnan Syed case and I totally recommend it to everyone who likes true crime, or just an entertaining listen!","I started listening to this after my mom recommended it to me. It’s insanely good, especially the Adnan Syed case and I totally recommend it to everyone who likes true crime, or just an entertaining listen!"
99,FAITh HOpe loVE girl:red_heart:️,20221002T182612,5,Serial,I rediscovered the podcast a few weeks ago when the news about Adnan Syed broke. In high school we listened to season one in an English class each Friday. I loved listening to season one ago. Can't wait for future episodes covering the case.,I rediscovered the podcast a few weeks ago when the news about Adnan Syed broke. In high school we listened to season one in an English class each Friday. I loved listening to season one ago. Can’t wait for future episodes covering the case.
101,Listener-unbiased,20220930T164402,5,I Love Serial,"Other than the fact that as an American, I find the British accent difficult to understand due to the fact that they can speak very fast... the 4th season of Serial was raw and transparent a story really more about journalists and personal opinions, vision and overall goals of journalists and how one can distance themselves from emotions and life experiences when telling a story in a fair and unbiased way. The story itself and the dogged reporting and research is fantastic.","Other than the fact that as an American, I find the British accent difficult to understand due to the fact that they can speak very fast… the 4th season of Serial was raw and transparent a story really more about journalists and personal opinions, vision and overall goals of journalists and how one can distance themselves from emotions and life experiences when telling a story in a fair and unbiased way. The story itself and the dogged reporting and research is fantastic."
102,puxzled,20220928T200721,5,"Excellent, Honest Journalism",I have enjoyed all the series that serial has produced but the Trojan Horse Affair is by far my favorite. Pure journalism at its best!,I have enjoyed all the series that serial has produced but the Trojan Horse Affair is by far my favorite. Pure journalism at its best!!
104,Garlando79,20220928T160701,5,Really Well Done,Love it and im hooked. Great Work,Love it & im hooked. Great Work
105,Hey...Look at me,20220927T175046,5,Beautifully Done,This podcast is brilliant!,This podcast is brilliant!
107,leabea26,20220926T211724,5,So Well Done,"So well done, a classic.","So well done, a classic."
108,George from NYC,20220925T141915,5,Mesmerizing,"This podcast series is absolutely riveting. It is the epitome of spoken True Crime journalism, digging into the minute details of a case, backtracking, double checking, picking apart contradicting witness statements, interviewing interested parties on the air, verifying timelines and cell tower locations, unraveling the twisted jumble of lies and truths and key facts not revealed at trial. Kept us spellbound for hours. Superbly written and spoken.","This podcast series is absolutely riveting. It is the epitome of spoken True Crime journalism, digging into the minute details of a case, backtracking, double checking, picking apart contradicting witness statements, interviewing interested parties on the air, verifying timelines and cell tower locations, unraveling the twisted jumble of lies and truths and key facts not revealed at trial. Kept us spellbound for hours. Superbly written and spoken."
111,OfficeWorkerBee,20220925T021731,5,Guilty,"The prosecutors screwed this one. I'm convinced he killed her. There is just too much evidence. If he's tried again, I'm sure it will be the same outcome. Great reporting kudos to the Serial team.","The prosecutors screwed this one.   I’m convinced he killed her.   There is just too much evidence.  If he’s tried again, I’m sure it will be the same outcome.  Great reporting kudos to the Serial team."
112,LucEz13,20220924T182953,5,He Did It,I totally think he's guilty. Great story though. It's like OJ Simpson trial. It was a popularity contest and a bunch of sheep going with the crowd. I can't believe he's out. How did Jay know where the car was? Also he talks so coldly about her like she was just someone he knew. No sadness in his voice for her death. Even though you know she was his first love.,I totally think he’s guilty. Great story though. It’s like OJ Simpson trial. It was a popularity contest and a bunch of sheep going with the crowd. I can’t believe he’s out. How did Jay know where the car was? Also he talks so coldly about her like she was just someone he knew. No sadness in his voice for her death. Even though you know she was his first love.
114,Myrickrackobsession,20220924T014315,5,Amazing!,"Thoroughly researched, well written, and spoken so well by Sarah Koenig. I was hooked by the subject matter and throughout the episodes, I wasn't sure if he did it or not. She doesn't glamorize the crime in any way, but instead is respectful of both families. I have listened to other true crime podcasts that are very popular, but they are not as well-written nor told by someone as professional. Koenig's voice is very easy to listen to and I much appreciated her humor, only when humor was warranted. Based on my positive experience with Serial, I have become totally smitten with podcasts, but it sets a high standard.","Thoroughly researched, well written, and spoken so well by Sarah Koenig. I was hooked by the subject matter and throughout the episodes, I wasn’t sure if he did it or not. She doesn’t glamorize the crime in any way, but instead is respectful of both families. I have listened to other true crime podcasts that are very popular, but they are not as well-written nor told by someone as professional. Koenig’s voice is very easy to listen to and I much appreciated her humor, only when humor was warranted. Based on my positive experience with Serial, I have become totally smitten with podcasts, but it sets a high standard."
116,2018 thxgiving,20220922T222523,5,Thank You Sarah!,We hope you can keep up the reporting of Adnan Syed. He has a life ahead of him! We also need to know how the system can correct itself faster!,We hope you can keep up the reporting of Adnan Syed.  He has a life ahead of him! We also need to know how the system can correct itself faster!
117,Triccster,20220922T190126,5,Thank You,"Great review and update. Why aren't the prosecutors help accountable for what they did, or didn't do in this case. So frustrating.","Great review and update.  Why aren’t the prosecutors help accountable for what they did, or didn’t do in this case.  So frustrating."
118,Bz witch,20220922T142856,5,Justice!,Listened to this podcast so long ago and now to hear of Adnan's freedom's is an amazing ending to this innocent young man's incarceration! Took way too long but the truth always sets you free!,Listened to this podcast so long  ago and now to hear of Adnan’s freedom’s is  an amazing ending to this innocent young man’s incarceration!  Took way  too long but the truth always sets you free!
120,Ms. NuBooty,20220922T135828,5,Great Job!,"Thank you for covering this case. I just listened to season 1..... I was on the roller coaster with u ...WHY CANT ANAN REMEMBER that afternoon in January !? I came away feeling like JAY is either the killer or knows who killed Ms. Lee. AT A MINIMUM Jay should go to jail for lying on ANAN wasting prosecutors time AND defamation! I also wondered why ANAN wasn't upset, angry, salty towards JAY?","Thank you for covering this case. I just listened to season 1….. I was on the roller coaster with u …WHY CANT ANAN REMEMBER that afternoon in January !!!!??? I came away feeling like JAY is either the killer or knows who killed Ms. Lee. AT A MINIMUM Jay should go to jail for lying on ANAN wasting prosecutors time AND defamation!!! I also wondered why ANAN wasn’t upset, angry, salty towards JAY????"
121,Beevis,20220922T061635,5,Finally,"It's horrible to know that there are still prosecutors that will hold on to cases like this when they're clearly flawed cases. Like the Duke Lacrosse case, one office is blinded by one direction and some use it as a tool to try to be elected to an office. These prosecutors not being held accountable is just as bad! I hope that there is finally a clear direction of who killed this young lady. Seems like Jay and the man who apparently found the body need to much harder look.","It’s horrible to know that there are still prosecutors that will hold on to cases like this when they’re clearly flawed cases. Like the Duke Lacrosse case, one office is blinded by one direction and some use it as a tool to try to be elected to an office. These prosecutors not being held accountable is just as bad! 
I hope that there is finally a clear direction of who killed this young lady. Seems like Jay and the man who apparently found the body need to much harder look."
122,VacaTeacher,20220922T043944,5,I Still Think He Did It.,"If the prosecutor made mistakes, the dude has the right to have case overturned. However, I have no doubt that he's the guy.","If the prosecutor made mistakes, the dude has the right to have case overturned.  However, I have no doubt that he’s the guy."
123,MustBALady,20220921T141513,5,Elated!,After listening to this podcast the week it came out back to back I am not listening for the third time. This time with gratitude that Adnan is home with his family where he belongs. I hope you will have him on soon.,After listening to this podcast the week it came out back to back I am not listening for the third time. This time with gratitude that Adnan is home with his family where he belongs. I hope you will have him on soon.
127,DBodet,20220921T054859,5,Thank You!,Thank you so much for doing this update. It's great to hear Sarah on Serial again!,Thank you so much for doing this update. It’s great to hear Sarah on Serial again!
130,talkingaboutparisputsmetosleep,20220921T015027,5,So Good,All seasons have been amazing,All seasons have been amazing
131,CPG24J,20220921T002440,5,Wow,Amazing!,Amazing!
133,tedya2,20220921T001527,5,Mind Blowing !,"In my opinion ""orange is the new black""and ""House of card"" made Netflix The streaming king , the same thing I will say about serial the first season was the original podcast that made podcast a thing. Yeah unfortunately now EVERYONE have podcast about everything and it's hard to listen too .","In my opinion “orange is the new black”and “House of card” made Netflix The streaming king , the same thing I will say about serial the first season was the original podcast that made podcast a thing. Yeah unfortunately now EVERYONE have podcast about everything and it’s hard to listen too ."
134,Lippenreader,20220920T184451,5,Adnan Is Out!,We have goosebumps and tears!,We have goosebumps and tears!!
135,Pacman9898,20220920T175102,5,How Did Jay Know Where Her Car Was?,Someone has to tell me that.,Someone has to tell me that.
136,j_a_x_,20220920T174803,5,Five Stars For Season 1,This is the podcast that got me into podcasts.,This is the podcast that got me into podcasts.
137,omg12244282828874,20220920T164558,5,Wooo,I'm here for the adnan syed podcast,I’m here for the adnan syed podcast
139,wilderjai,20220920T163908,5,Adnan Is Free,"I held it together until i heard the piano. Then i bawled like a baby. In the years since i listened to Sarah waiting for a week for a new episode i imagined what Adnan was feeling locked up for a crime he didn't commit. Since this case started i've moved to Maryland , i know Woodlawn, i've driven by Leakin Park, i know the Baltimore prosecutors . Alternate suspects, Brady violations , motions to vacate i know these. But at the end its a teenage boy sent to prison for murder of a girl he once loved. Thanks Sarah for enlightening us on an American life and tragedy. A man is free.","I held it together until i heard the piano. Then i bawled like a baby. In the years since i listened to Sarah waiting for a week for a new episode i imagined what Adnan was feeling locked up for a crime he didn’t commit.
Since this case started i’ve moved to Maryland , i know Woodlawn, i’ve driven by Leakin Park,  i know the Baltimore prosecutors . Alternate suspects, Brady violations , motions to vacate i know these. But at the end its a teenage boy sent to prison for murder of a girl he once loved. Thanks Sarah for enlightening us on an American life and tragedy. A man is free."
140,pamhardwick,20220920T155758,5,Good News... But Not Justice,The comment by Koenig is glaring- that we have justice system is so broken (and in this writer's opinion CORRUPT too) that it takes 20 years to correct a mistake. Prosecutors rarely right their wrongs. Hopefully this tide will turn.,The comment by Koenig is glaring- that we have justice system is so broken (and in this writer’s opinion CORRUPT too) that it takes 20 years to correct a mistake. Prosecutors rarely right their wrongs. Hopefully this tide will turn.
141,RVTob,20220920T150052,5,Kudos,Congrats on launching the review of injustice that ... eventually ... led to justice. What was the chances of THAT? Glad you didn't go on the percentages.,"Congrats on launching the review of injustice that … eventually … led to justice. 

What was the chances of THAT?? 

Glad you didn’t go on the percentages."
142,Sillysmg,20220920T133922,5,Thank You!,"This was the FIRST (and BEST) podcast I ever listened too! Sarah thank you for coming back and updating us on Adnan, I have not stopped following his case since Serial started! Can you PLEASE do a new season on a new case?","This was the FIRST (and BEST) podcast I ever listened too!! Sarah thank you for coming back and updating us on Adnan, I have not stopped following his case since Serial started! Can you PLEASE do a new season on a new case??"
144,Amy Plum's Desk Top,20220920T112945,5,Finally,I wish you would have done all the work that Rabdia Chowdry had done on her podcast. Clearly Jay took a deal for his drug conviction and threw Adnan under the bus to save his own life. I hope he can get his life back and that they find the real killer.,"I wish you would have done all the work that Rabdia Chowdry had done on her podcast. Clearly Jay took a deal for his drug conviction and threw Adnan under the bus to save his own life. 
I hope he can get his life back and that they find the real killer."
145,tyWONbos,20220919T230445,5,When One Seeks And Finds Truth,"... we are all better for their efforts. I remember being a 20something and feeling like this podcast was the cautionary tale me parents had whispered to me growing up. Ima black queer male but I could have been Adnan Syed. I could have been a young person caught up in the US criminal justice system. Thanks to this podcast and those it inspired to work tirelessly, the conviction of Mr Syed was overturned on Sept 19, 2022. This is the true work of journalism, to shine light on injustice. Thank you Serial (team)","… we are all better for their efforts.

I remember being a 20something and feeling like this podcast was the cautionary tale me parents had whispered to me growing up. Ima black queer male but I could have been Adnan Syed. I could have been a young person caught up in the US criminal justice system.

Thanks to this podcast and those it inspired to work tirelessly, the conviction of Mr Syed was overturned on Sept 19, 2022. This is the true work of journalism, to shine light on injustice. 

Thank you Serial (team)"
146,WoofyKC,20220919T221204,5,Adnan,Will there be an update episode for n his release?,Will there be an update episode for n his release?
148,rlg7719,20220919T215420,5,Updates,PLEASE TELL ME THERES AN UPDATE COMING,PLEASE TELL ME THERES AN UPDATE COMING
149,Amys always listening,20220918T130521,5,Absolute Favorite!,I have listened to season 1 twice and now I'm on a third time after hearing the breaking news! I can't wait for Monday's hearing to see what happens.,I have listened to season 1 twice and now I’m on a third time after hearing the breaking news! I can’t wait for Monday's hearing to see what happens.
151,:red_heart:Xwords,20220918T010204,5,Occam'S Razor Maybe :thinking_face:,"Based upon your reporting and reading some of the court documents, it's plain and simple that Adnan Syed should not be in prison. The manipulative, lying, psychopath who started this entire tragedy...JAY WILDS is a BLATANT liar. HOWEVER, he DID tell the TRUTH about how HE MIGHT HAVE killed Hae Min Lee and everyone has totally ignored it! The PROOF has been there all along. The detectives, prosecutors, public defenders, and the entire judicial system was FAILED Mr. Syed in so many ways and it's absolutely despicable! This case should have NEVER gone to trial! Great podcast and thanks for sharing pertinent information that needs to be addressed.","Based upon your reporting and reading some of the court documents, it’s plain and simple that Adnan Syed should not be in prison. The manipulative, lying, psychopath who started this entire tragedy…JAY WILDS is a BLATANT liar. HOWEVER, he DID tell the TRUTH about how HE MIGHT HAVE killed Hae Min Lee and everyone has totally ignored it! The PROOF has been there all along. The detectives, prosecutors, public defenders, and the entire judicial system was FAILED Mr. Syed in so many ways and it’s absolutely despicable!! 
This case should have NEVER gone to trial!
Great podcast and thanks for sharing pertinent information that needs to be addressed."
152,Marlin954,20220912T224848,5,Stuart Fl,"Love ya gator woman/judge awesome show. I'm broward county, just south of this.","Love ya gator woman/judge awesome show. I’m broward county, just south of this."
