index,user,timestamp,rating,title,review,review_raw
318,Jeannieplake,20210521T110324,1,Didn'T Listen,"I was so much of a Serial fan that it is unbelievable. I started the first episode a couple of times and had the impression that this was going to be WOKE nonsense so I stopped and said I would go back later. When I opened the podcast this morning The reviews caught my eyes. I normally don't read the reviews because all of us enjoy something different. But once I read the reviews I was certain that I wasn't going to listen because I knew listening to this would only make me feel angry inside. I am tired of Young people who don't know what they're talking about dividing this country with their WOKE ideology. Honestly, if I were a black person in America I would be insulted that this generation think I too stupid to wipe my own butt. I come from mixed race. My great grandfather was an African Slave. TRUST me when I say, none of us were or are stupid and anyone thinking that you can't rise above the color of your skin in modern America is not well educated. So no thank you Sarah, I'm taking a pass on this on and hitting the ole unfollow button.","I was so much of a Serial fan that it is unbelievable. I started the first episode a couple of times and had the impression that this was going to be WOKE nonsense so I stopped and said I would go back later. When I opened the podcast this morning The reviews caught my eyes. I normally don’t read the reviews because all of us enjoy something different. But once I read the reviews I was certain that I wasn’t going to listen because I knew listening to this would only make me feel angry inside. I am tired of Young people who don’t know what they’re talking about dividing this country with their WOKE ideology. Honestly, if I were a black person in America I would be insulted that this generation think I too stupid to wipe my own butt. I come from mixed race. My great grandfather was an African Slave. TRUST me when I say, none of us were or are stupid and anyone thinking that you can’t rise above the color of your skin in modern America is not well educated. So no thank you Sarah, I’m taking a pass on this on and hitting the ole unfollow button."
355,RickKane,20210428T162640,2,First 2 Seasons Are Worthwhile,"After the first two seasons which were though provoking, it's fallen trap to the racial misgivings of woke variety. We get it, white people are racist, systematic racism is everywhere and all that yarn. A return to interesting storytelling would be greatly warranted.","After the first two seasons which were though provoking, it's fallen trap to the racial misgivings of woke variety.  We get it, white people are racist, systematic racism is everywhere and all that yarn.  A return to interesting storytelling would be greatly warranted."
383,Ga mom of 5,20210330T232235,1,Why Get Political?,"Ugh. Had to add some crap to make you look ""woke""....stick to muder mysteries. That's what we came for. Leave that other garbage alone. Get enough of that ish on Twitter. Leave it there.",Ugh. Had to add some crap to make you look “woke”....stick to muder mysteries. That’s what we came for. Leave that other garbage alone. Get enough of that ish on Twitter. Leave it there.
448,Warlord565956,20210101T185429,1,Crap,This is anti racist woke crap. America does not agree with this.,This is anti racist woke crap. America does not agree with this.
461,teddy66,20201215T041303,1,Typical,"As a liberal, it's exhausting to listen to these bigoted woke leftists reduce immensely complicated issues into simplistic (and racist) solutions. Avoid if your IQ is three digits.","As a liberal, it’s exhausting to listen to these bigoted woke leftists reduce immensely complicated issues into simplistic (and racist) solutions.  Avoid if your IQ is three digits."
479,Josh whoa,20201114T041726,1,A Turn For The Worse,"I absolutely loved the first three seasons of this show, however with season four you've lost a listener forever. They're seriously making the case that the problem with inadequate education in certain areas is the fault of and I quote ""white parents"". They went full ""woke"" with this one guys. They live in an echo chamber where racism is the causation behind every issue in America.","I absolutely loved the first three seasons of this show, however with season four you’ve lost a listener forever. They’re seriously making the case that the problem with inadequate education in certain areas is the fault of and I quote “white parents”. They went full “woke” with this one guys. They live in an echo chamber where racism is the causation behind every issue in America."
544,SilverDollar007,20200907T172905,1,"""Nice White Woke Writers""","That's what this series should be called. I made it through three episodes but grew tired of the racist bias toward white people. These liberal white woke writers insist on blaming everything on white people. When does personal responsibility come into play? Many people choose to maintain their low standards and resent it when others come in with higher expectations. Why is it that the ones who constantly point out a person's race also happen to be those on the left? When will they stop pointing out differences and instead focus on the commonalities and ideals that unite us? When it stops being profitable for them. The media continue their work to divide this country along racist lines. What happened to considering a person's character before their color? I predict it will soon backfire. Check out Freedom, Georgia to see how black people are segregating themselves from white people so they can feel ""safe"". And they are promoting this as a solution to black people all around the country. Will the woke white people try to infiltrate the black self-segregation areas? This could get interesting. Unsubscribed.","That’s what this series should be called. I made it through three episodes but grew tired of the racist bias toward white people. These liberal white woke writers insist on blaming everything on white people. When does personal responsibility come into play? Many people choose to maintain their low standards and resent it when others come in with higher expectations. 

Why is it that the ones who constantly point out a person’s race also happen to be those on the left? When will they stop pointing out differences and instead focus on the commonalities and ideals that unite us? When it stops being profitable for them. The media continue their work to divide this country along racist lines. What happened to considering a person’s character before their color? I predict it will soon backfire. Check out Freedom, Georgia to see how black people are segregating themselves from white people so they can feel “safe”.  And they are promoting this as a solution to black people all around the country. Will the woke white people try to infiltrate the black self-segregation areas? This could get interesting. 

Unsubscribed."
552,dpj2323,20200901T233057,1,Woke White Journalists,Unsubscribed.,Unsubscribed.
600,Hoping foe the best,20200821T120952,4,Missed The Mark,"Hits all the current ""woke"" marks but fails to discuss the real reason people with resources leave public schools and that is poor performance. The fist episode really reveals the true problem —- the existing parents wanted the opportunities provided by the ""Big 3"" Middle Schools, but when a new parent took the initiative to raise money to improve the school,,,, they weren't happy The Equity approach will ultimately fail as the only long term approach that works is excellence—- this the resin so many private and charter schools exists.","Hits all the current “woke” marks but fails to discuss the real reason people with resources leave public schools and that is poor performance. 

The fist episode really reveals the true problem —- the existing parents wanted the opportunities provided by the “Big 3” Middle Schools, but when a new parent took the initiative to raise money to improve the school,,,, they weren’t happy   

The Equity approach will ultimately fail as the only long term approach that works is excellence—- this the resin so many private and charter schools exists."
615,Rensalaer,20200820T172044,1,Woke,Loved the others. Should have known it would go this way since partnering with NYT.,Loved the others. Should have known it would go this way since partnering with NYT.
1183,arfy66213467,20190407T032538,1,Woke Vocal Fry!,This girl is the wokest! Long live Judge Gould!,This girl is the wokest! Long live Judge Gould!
1207,Phil565123,20190327T151212,2,Weak 3Rd Season Future Looks Bad,The first two seasons were good but season 3 got woke with its identity politics. I unsubscribed.,The first two seasons were good but season 3 got woke with its identity politics. I unsubscribed.
4044,wheniawoke,20150114T043140,5,Just Great,Very addictive,Very addictive
